Reading, Time (micro), X Coord, Y Coord
455,5305367,0.0417151,0.0942483
456,5316825,0.0393229,0.0920577
457,5328128,0.0370107,0.0900162
458,5338420,0.0347545,0.0882598
459,5350243,0.0329421,0.0871121
460,5361250,0.0312558,0.0862015
461,5371683,0.0298845,0.0857663
462,5383801,0.0284865,0.0855504
463,5394429,0.0272245,0.0852926
464,5405437,0.025999,0.0849387
465,5417600,0.0249955,0.0842146
466,5427668,0.0242375,0.0831054
467,5438600,0.0236669,0.0820875
468,5450047,0.0231983,0.0812177
469,5461392,0.0226794,0.0807446
470,5471750,0.0220712,0.0801857
471,5483584,0.0214524,0.0796863
472,5494361,0.0209761,0.0790863
473,5505604,0.0206814,0.0785025
474,5516692,0.0201411,0.078037
475,5527922,0.0196772,0.077593
476,5538382,0.0191451,0.0773604
477,5550011,0.0187088,0.0773763
478,5561044,0.0182545,0.0774578
479,5571610,0.0177891,0.0775205
480,5583209,0.0185831,0.0782821
481,5594371,0.029493,0.0833992
482,5605081,0.066008,0.0941503
483,5616619,0.117055,0.108715
484,5627741,0.175743,0.127293
485,5638251,0.233611,0.147585
486,5650032,0.282877,0.166631
487,5661084,0.32182,0.182447
488,5671657,0.35307,0.19581
489,5683525,0.375884,0.207355
490,5694244,0.395151,0.217523
491,5705490,0.411443,0.226251
492,5716465,0.425246,0.233825
493,5727753,0.4368,0.239635
494,5738104,0.446491,0.245009
495,5749846,0.455023,0.249953
496,5761089,0.461535,0.255655
497,5771603,0.466786,0.260798
498,5783118,0.471437,0.265622
499,5794149,0.475349,0.269671
500,5805252,0.478651,0.273349
501,5816565,0.481127,0.276548
502,5827787,0.483586,0.278874
503,5838165,0.486001,0.281056
504,5849727,0.488253,0.282802
505,5860711,0.490073,0.284808
506,5871358,0.491382,0.286685
507,5883257,0.492845,0.288758
508,5894212,0.494512,0.290521
509,5904735,0.496179,0.291985
510,5916484,0.497764,0.293076
511,5927745,0.498589,0.294542
512,5937899,0.499202,0.295888
513,5949763,0.499827,0.297368
514,5960560,0.500426,0.298654
515,5971583,0.501033,0.300026
516,5983044,0.501252,0.301103
517,5994245,0.50192,0.301988
518,6004606,0.502654,0.302845
519,6016296,0.503548,0.303613
520,6027423,0.503889,0.304131
521,6037956,0.504008,0.304259
522,6049753,0.503851,0.304383
523,6060847,0.503943,0.304369
524,6071300,0.504174,0.304631
525,6083105,0.504522,0.304808
526,6094065,0.504663,0.305302
527,6104536,0.504794,0.305619
528,6116388,0.504728,0.306088
529,6127453,0.505017,0.306397
530,6137928,0.505339,0.306757
531,6149459,0.505465,0.307064
532,6160484,0.505281,0.307068
533,6171287,0.504853,0.307114
534,6182786,0.504553,0.307286
535,6193890,0.504399,0.307796
536,6204664,0.504273,0.308319
537,6216263,0.503994,0.308564
538,6227235,0.503696,0.308516
539,6237788,0.503367,0.308593
540,6249533,0.502982,0.308731
541,6260579,0.502518,0.3091
542,6270992,0.502046,0.309094
543,6283011,0.501592,0.309172
544,6293852,0.501122,0.309142
545,6304310,0.500686,0.309373
546,6316182,0.500412,0.309545
547,6327851,0.500256,0.30988
548,6337705,0.500071,0.310156
549,6349389,0.499838,0.310371
550,6360437,0.499651,0.310596
551,6371139,0.499491,0.310757
552,6382798,0.499396,0.310827
553,6393765,0.499195,0.311015
554,6404478,0.49902,0.311245
555,6416141,0.498909,0.311402
556,6427158,0.49871,0.311348
557,6437629,0.498442,0.31136
558,6450267,0.498147,0.311956
559,6460289,0.497798,0.312855
560,6470893,0.497572,0.313808
561,6482894,0.49748,0.314521
562,6493759,0.497487,0.314966
563,6504282,0.497544,0.3152
564,6515844,0.497574,0.31555
565,6527100,0.497788,0.315775
566,6537733,0.497977,0.316067
567,6549181,0.498361,0.316492
568,6560119,0.49868,0.316962
569,6570960,0.499008,0.317448
570,6582646,0.499088,0.317974
571,6593527,0.499049,0.318422
572,6604427,0.499058,0.318729
573,6615887,0.499191,0.318826
574,6626867,0.499606,0.318914
575,6637497,0.499949,0.31917
576,6649107,0.500117,0.319381
577,6660221,0.499926,0.319622
578,6670929,0.499245,0.319485
579,6682910,0.494032,0.315373
580,6693744,0.479833,0.303926
581,6704254,0.448125,0.283889
582,6715626,0.404641,0.261582
583,6727152,0.349375,0.239794
584,6736995,0.293428,0.2195
585,6748916,0.24734,0.201259
586,6759951,0.209829,0.184899
587,6770620,0.179504,0.171946
588,6782392,0.155393,0.160785
589,6793366,0.135695,0.151528
590,6804156,0.119681,0.143384
591,6815913,0.106499,0.136545
592,6826725,0.0951652,0.12995
593,6837414,0.0860188,0.124395
594,6849256,0.0780474,0.118979
595,6860180,0.0716091,0.114528
596,6870567,0.0661483,0.109815
597,6882703,0.0615573,0.10571
598,6893556,0.0577066,0.101716
599,6903799,0.0539695,0.0979014
600,6915760,0.0503326,0.0941112
601,6926630,0.0475269,0.0906179
602,6937463,0.0451739,0.0875804
603,6949037,0.0430362,0.0846045
604,6960200,0.0408222,0.0818429
605,6970849,0.0387266,0.079395
606,6982332,0.0372359,0.0774475
607,6993073,0.0356384,0.0760576
608,7004196,0.0342054,0.0749557
609,7015489,0.0327023,0.0741322
610,7026587,0.0312452,0.0734062
611,7037264,0.0299407,0.0727668
612,7048889,0.0288429,0.0721682
613,7059788,0.0280092,0.071643
614,7070585,0.027237,0.070649
615,7082238,0.0265331,0.0694232
616,7093189,0.0260605,0.0679643
617,7103896,0.025561,0.0668935
618,7115424,0.0247613,0.0657702
619,7126378,0.0240641,0.0648933
620,7137182,0.0235791,0.0640694
621,7148904,0.023441,0.0630841
622,7159692,0.0231497,0.0623497
623,7170550,0.0228878,0.0618475
624,7182032,0.0225725,0.0614062
625,7192979,0.0222767,0.0607773
626,7203682,0.0218755,0.059764
627,7213498,0.0213431,0.059772
