Reading, Time (micro), X Coord, Y Coord,
37891,428831378,0.48339,0.829649,
37892,428842395,0.488021,0.829982,next
37893,428852961,0.492323,0.830435,
37894,428864589,0.496474,0.831074,
37895,428875782,0.500299,0.831131,
37896,428886224,0.50364,0.831029,
37897,428898036,0.506672,0.830521,
37898,428909148,0.509285,0.830018,
37899,428919553,0.511792,0.829474,
37900,428931385,0.51407,0.828957,
37901,428942247,0.516401,0.828421,
37902,428952885,0.518526,0.827993,
37903,428964544,0.520335,0.827594,
37904,428975572,0.521842,0.827531,
37905,428986128,0.523065,0.827597,
37906,428997867,0.524204,0.827908,
37907,429009024,0.525972,0.828065,
37908,429019385,0.529453,0.828197,
37909,429031203,0.533849,0.827838,
37910,429042383,0.538857,0.827328,
37911,429052753,0.542978,0.826584,
37912,429064486,0.546679,0.82596,
37913,429075623,0.549901,0.825589,
37914,429086137,0.552612,0.825264,
37915,429097801,0.554892,0.82523,
37916,429108841,0.556972,0.825134,
37917,429119379,0.559043,0.825069,
37918,429131108,0.561201,0.824999,
37919,429142200,0.562994,0.825186,
37920,429152656,0.564463,0.825311,
37921,429164388,0.565613,0.825499,
37922,429175485,0.566716,0.825502,
37923,429186059,0.56785,0.825498,
37924,429197813,0.56937,0.825262,
37925,429208732,0.572493,0.82488,
37926,429219406,0.576792,0.824532,
37927,429231147,0.581787,0.824517,
37928,429242140,0.586185,0.824808,
37929,429252714,0.590239,0.825419,
37930,429264508,0.593976,0.825793,
37931,429275450,0.597001,0.826246,
37932,429286027,0.599735,0.826568,
37933,429297739,0.602358,0.82673,
37934,429308745,0.605103,0.826745,
37935,429319420,0.607772,0.826688,
37936,429331074,0.610123,0.826668,
37937,429342157,0.612272,0.826564,
37938,429352683,0.61406,0.826593,
37939,429364311,0.615747,0.826998,
37940,429375526,0.617307,0.827222,
37941,429385818,0.618687,0.827266,
37942,429397537,0.617575,0.827802,
37943,429408513,0.612033,0.829455,
37944,429419152,0.600465,0.832256,
37945,429430880,0.588906,0.834914,
37946,429441883,0.578176,0.837147,
37947,429452524,0.568692,0.839057,
37948,429464202,0.559816,0.840723,
37949,429475197,0.552264,0.842112,
37950,429485764,0.545561,0.843476,
37951,429497640,0.539464,0.84466,
37952,429508385,0.534312,0.845922,
37953,429519101,0.529943,0.847121,
37954,429530854,0.52609,0.848516,
